,,,,,,,,,,,,,,,,,
1,Name of kriya,,Steps,step 1,step 2,step 3,step 4,step 5,step 6,step 7,step 8,step 9,step 10,step 11,step 12,,
58,Cure For Hot Flashes in Menopause,,1. VAJRA ASANA 2. KARSHAKA KUMBHAKA 3. SAMA KUMBHAKA,"1. VAJRA ASANA
1. With knees, ankles and big toes touching the ground, stand on a kneeling position.
2. Sit erect with the heels under your buttocks
3. Erect in this asana 30 seconds
IN VAJRA ASANA, NEXT","2. KARSHAKA KUMBHAKA
KARSHAKA KUMBHAKA is of two types –
a) UTKARSHAKA KUMBHAKA
b) APAKARSHAKA KUMBHAKA
In Utkarshaka we have to inhale by holding the nose at the root whereas in Apakarshaka we have to 
hold the nose partially.
a) UTKARSHAKA KUMBHAKA
1. Inhale completly and hold the nose at its root (Where the nose bone starts)
2. Now inhale and exhale internally.
3. Do this as long as possible.
4. When you can't hold any more, release the nose and exhale slowly
5. Do this 21 times
IN VAJRA ASANA, NEXT
b. APAKARSHAKA KUMBHAKA
1. Close the nostrils partially
2. Now inhale
3. Hold as long as you can judiciously
4. Exhale as slowly as you can
5. Partially close the nostrils and exhale slowly
277
6. Do this 21 times","3. SAMA KUMBHAKA
1. Stop inhaling and exhaling
2. Hold the breath and mentally retain the breath in throat 
3. When you can not hold any more relax
4. Do this for 11 minutes",,,,,,,,,,,
59,Care For Hypertension,,"1. MRUTASANA WITH CHIN MUDRA
2. UDDEEYAANA BANDHA
3. JAALANDHARA BANDHA
4. MUKTA ASANA
5. BHASTRIKAA
6. BHRAAMAREE KUMBHAKA","1. MRUTASANA WITH CHIN MUDRA
1. Lying flat on the ground (use mat but no pillow or any support for head) with palms facing up
2. Relax and settle in this posture for 30 seconds
3. Do chin mudra (bring your index finger to your thumb) in this posture","2. UDDEEYAANA BANDHA
1. Lye down on same asana and eyes should be kept open
2. Take a deep breath in and exhale completely, but do not be forceful
3. After exhaling, perform jalandhara bandha by moving the chin down to the chest and raising 
the shoulders
4. Pull the abdominal muscles inward so that the organs of the abdomen touch the back 
muscles
5. Hold as long as you can
280
6. When you can’t hold anymore, Before inhaling, relax the stomach and abdomen, release
 jaalandhara bandha
7. Then inhale through the nostrils slowly
8. Before repeating another round, breathe normally for a minute or two
9. Initially start with 3 times and gradually increase upto 10 times","3. JAALANDHARA BANDH
1. Remain in same asana
2. Inhale fully
3. Place the chin on the chest and contract the throat
4. Fix the Gaze at the tip of the nose
5. Hold as long as possible judiciously
6. Release the throat lock and exhale slowly, when you feel you can’t hold anymore
7. Do this 21 times","4. MUKTA ASANA
1. Place the left heel at the root of the organ of generation and the right heel above that
2. Keep the head and the neck straight with the body. 
3. Keep this posture for 30 seconds","5. BHASTRIKAA
1. Inhale slowly expanding the stomach
2. Exhale slowly
3. Do this 21 times
4. After 21 times, now inhale slowly
5. Hold the breath as long as you can 
6. When you feel you can’t hold quickly expel the air with the sound of bellows. At this moment 
the stomach should contract to touch the back
(This is one Bhastrikaa)
7. Do this complete sequence three times","6. BHRAAMAREE KUMBHAKA
1. Close your ears with hands and close your eyes and hum intensely.
2. Do this for 7 minutes
Note: 10-15 minutes after doing this kumbhaka one should eat something",,,,,,,,
60,Cure For Hypertension,,"1. NAADEE SHUDDHI 
2. PAVANA MUKTHASANA
3. BHRAAMAREE KUMBHAKA
4. YOGA NIDRA","1. NAADEE SHUDDHI 
1. Sit in Padma asana or Siddhaasana or Baddha Padma asana posture
2. Inhale slowly through the left nostril
3. Retain the breath inside as long as you can and exhale through the right nostril
4. Inhale slowly through the right nostril
5. Retain the breath inside as long as you can and exhale through the left nostril
6. Do this 21 times","2. PAVANA MUKTHASANA
1. Stay on ground. 
2. Bring two heels close to perineal region. 
3. Keep the knees raised. Hold knees with two hands and press them against the chest.
4. Remain in this pose for 30 seconds
IN PAVANA MUKTHASANA, NEXT","3. BHRAAMAREE KUMBHAKA
1. Close your ears with hands and close your eyes and hum intensely.
2. Do this for 7 minutes
Note: 10-15 minutes after doing this kumbhaka one should eat something 
NEXT","4. YOGA NIDRA
1. Just lie down on your back
2. Unclutch immediately. By the unclutching and the laziness combined together, you will fall into 
a kind of a half sleep. Get into that sleep. That is what is yoga nidra.
3. Do this for 21 minutes or right before sleep at night.",,,,,,,,,,
61,Care For Hypothyroidism,,"1. PADMA ASANA
2. TRINETRA KUMBHAKA WITH JAALANDHARA BANDHA
3. TRISHOOLA KUMBHAKA WITH JAALANDHARA BANDHA
4. KRAMA NETRA KUMBHAKA WITH JAALANDHARA BANDHA","1. PADMA ASANA
1. Place the right foot on the left thigh 
2. Now place the left foot on the right thigh
3. Place the hands between the thighs with the palms facing upwards 
4. Concentrating on the tip of the nose, keep the tongue pressed on the upper teeth
5. Press the chin on your chest, push the air slowly upward
6. Exhale slowly
7. Do this 3 times and release the chin on your chest and tongue pressed on the upper teeth
IN PADMA ASANA, NEXT –","2. TRINETRA KUMBHAKA WITH JAALANDHARA BANDH
1. Inhale through the left nostril
2. Place the chin on the chest and contract the throat, hold the breath as long as you can 
judiciously
3. Without exhalation, release the throat lock and inhale through the right nostril
4. Place the chin on the chest and contract the throat, hold the breath as long as you can 
judiciously
5. Again without exhaling, release the throat lock and inhale through both the nostrils
6. Place the chin on the chest and contract the throat, hold the breath as long as you can 
judiciously
7. Now release the throat lock and exhale through both the nostrils slowly 
8. Do this 21 times 
IN PADMA ASANA, NEXT –","3.TRISHOOLA KUMBHAKA WITH JAALANDHARA BANDHA
1. Inhale through the nostrils and also through the mouth simultaneously
2. Place the chin on the chest and contract the throat, hold the breath as long as you can 
judiciously
3. Now release the throat lock and exhale through the nostrils slowly and relax
4. Do this 21 times","4.KRAMA NETRA KUMBHAKA WITH JAALANDHARA BANDHA
1. Inhale through the right nostril
2. Place the chin on the chest and contract the throat, hold the breath
3. Without exhalation, release the throat lock and Inhale through the left nostril
4. Place the chin on the chest and contract the throat, hold the breath
5. Without inhalation, release the throat lock and Exhale through the right nostril
6. Place the chin on the chest and contract the throat, hold the breath
7. Without inhalation, release the throat lock and Exhale through the left nostril
8. Do this 21 times",,,,,,,,,,
62,Cure For Hypothyroidism,,"1. PARVATA ASANA
2. TRINETRA KUMBHAKA WITH JAALANDHARA BANDHA
3. TRISHOOLA KUMBHAKA WITH JAALANDHARA BANDHA
4. PASHCHIMOTTA ASANA
5. KRAMA NETRA KUMBHAKA WITH JAALANDHARA BANDHA","1. PARVATA ASANA
1. Place the right foot on the left thigh
2. Now place the left foot on the right thigh
3. Keep both the arms raised above the head and join the hands
4. Settle in this posture for 30 seconds
(This should be practised in both sitting as well as Lying conditions. But now we will do the following 
kumbhakas in sitting pose only","2. TRINETRA KUMBHAKA WITH JAALANDHARA BANDHA
1. Inhale through the left nostril
2. Place the chin on the chest and contract the throat, hold the breath as long as you can 
judiciously
3. Without exhalation, release the throat lock and inhale through the right nose
4. Place the chin on the chest and contract the throat, hold the breath as long as you can 
judiciously
5. Again without exhaling, release the throat lock and inhale through both the nostrils
6. Place the chin on the chest and contract the throat, hold the breath as long as you can 
judiciously
7. Now release the throat lock and exhale through both the nostrils slowly 
8. Do this 21 times 
IN PARVATA ASANA, NEX","3. TRISHOOLA KUMBHAKA WITH JAALANDHARA BANDHA
1. Inhale through the nostrils and also through the mouth simultaneously
2. Place the chin on the chest and contract the throat, hold the breath as long as you can 
judiciously
3. Now release the throat lock and exhale through the nostrils slowly and relax
4. Do this 21 times
NEXT","4. PASHCHIMOTTA ASANA
1. Sit with the legs stretched, the heels not touching one another.
2. Bend forward
3. Place your forehead on the knees
4. Catch hold of the feet with your hands
5. Remain in this pose 30 seconds","5. KRAMA NETRA KUMBHAKA WITH JAALANDHARA BANDHA
1. Inhale through the right nostril
2. Place the chin on the chest and contract the throat, hold the breath
3. Without exhalation, release the throat lock and Inhale through the left nostril
4. Place the chin on the chest and contract the throat, hold the breath
5. Release the throat lock and Exhale through the right nostril
6. Place the chin on the chest and contract the throat, hold the breath
7. Without inhalation, release the throat lock and Exhale through the left nostril
8. Do this 21 times",,,,,,,,,
63,Care For Infection,,"1. MATSYENDRA ASANA
2. PLAAVINEE KUMBHAKA
3. MOORCCHANA
4. MAAKADA ASANA
5. KAMALA KUMBHAKA
6. KUMUDA KUMBHAKA
7. KRAMA NETRA KUMBHAKA","1. MATSYENDRA ASANA
1. Sit and Stretch your legs
2. Relax your stomach
3. Bend your left leg and place it over your right lap.Keep the left knee upright
4. Now place the right elbow on the left knee
5. Place your cheek on right palm 
6. Fix your gaze at the center of the eye brows
7. Stable in this asana for 30 seconds","2. PLAAVINEE KUMBHAKA
1. Stay on same posture. Keep your right hand perpendicular.
2. Inhale completely
3. Contract the throat and rest your chin on the chest
4. Retain the air inside as much as you can possible
5. When you can't hold anymore, Release the throat lock and exhale slowly 
302
6. Do this 21 times
NEXT","3. MOORCCHANA KUMBHAK
1. Sit in same asana and close the eyes
2. Inhale slowly and deeply through both nostrils
3. After inhaling, immediately do Jalandhara Bandha by putting your chin on the chest and 
locking the throat 
4. Retain the air inside as much as you can possible
5. When you can't hold anymore, immediately Exhale through both nostrils in a very controlled 
manner in Jaalandhara bandha itself
6. Do this 21 times","4. MAAKADA ASANA 
1. Keep the feet together
2. Keep the toes pointing down wards
3. Stay on the heels with the heels raised off the ground
4. Rest the knees on the floor and spread the knees a little apart
5. Take the hands up, cross them and place them behind the head
6. Fix the gaze at the eyebrow center","5. KAMALA KUMBHAKA
1. Inhale through the right nostril
2. Retain the breath as long as you can judiciously
3. Exhale through the left nostril
4. Do this 21 times","6. KUMUDA KUMBHAKA
1. Inhale through the left nostril
2. Hold the breath
3. Exhale through both the nostrils
4. Repeat this 21 times","7. KRAMA NETRA KUMBHAKA
1. Inhale through the right nostril
2. Hold the breath
3. Inhale through the left nostril
4. Hold the breath
5. Exhale through the right nostril
6. Hold the breath
7. Exhale through the left nostril
8. Hold the breath
9. Do this 21 times",,,,,,,
64,Cure For Infection,,"1. GARUDAASANA (version 1)
2. PLAAVINEE KUMBHAKA
3. MOORCCHANAA KUMBHAKA
4. GARUDAASANA (version 2)
5. KAMALA KUMBHAKA
6. KUMUDA KUMBHAKA
7. KRAMA NETRA KUMBHAKA","1. GARUDAASANA (version 1)
1. Stand straight on the ground
2. Balance yourself and place your left foot at the root of the left thigh
3. Bend a little your right knee
4. Bring the left knee close to the right ankle
5. Fold the hands in prayer position and place it near the chest
6. Settle in this posture for 30 second","2. PLAAVINEE KUMBHAKA
1. Stay on same posture. Keep your right hand perpendicular.
2. Inhale completely
3. Contract the throat and rest your chin on the chest
4. Retain the air inside as much as you can possible
5. When you can't hold anymore, Release the throat lock and exhale slowly 
302
6. Do this 21 times
NEXT","3. MOORCCHANA KUMBHAK
1. Sit in same asana and close the eyes
2. Inhale slowly and deeply through both nostrils
3. After inhaling, immediately do Jalandhara Bandha by putting your chin on the chest and 
locking the throat 
4. Retain the air inside as much as you can possible
5. When you can't hold anymore, immediately Exhale through both nostrils in a very controlled 
manner in Jaalandhara bandha itself
6. Do this 21 times","4. GARUDAASANA (version 2)
1. Be seated on the ground
2. Bending the left leg, place the left heel under the anus
3. Fold the right leg and keep it upright placing the right foot close to the right buttock
4. Keep your hands on the respective knees
5. Fix the gaze at the tip of your nose.
6. Settle in this posture for 30 seconds","5. KAMALA KUMBHAKA
1. Inhale through the right nostril
2. Retain the breath as long as you can judiciously
3. Exhale through the left nostril
4. Do this 21 times","6. KUMUDA KUMBHAKA
1. Inhale through the left nostril
2. Hold the breath
3. Exhale through both the nostrils
4. Repeat this 21 times","7. KRAMA NETRA KUMBHAKA
1. Inhale through the right nostril
2. Hold the breath
3. Inhale through the left nostril
4. Hold the breath
5. Exhale through the right nostril
6. Hold the breath
7. Exhale through the left nostril
8. Hold the breath
9. Do this 21 times",,,,,,,
65,Care For Insomnia,,"1. SHALABHA ASANA
2. UDDEEYAANA BANDHA
3. STEPS 1 AND 2 COMBINED","1. SHALABHA ASANA
1. Lie face down on the floor, keep the palms of the hand on the floor
2. Lie such that the chest is resting on the palms
3. Inhale and retain the breath inside
4. At the same time without bending at the knees raise the leg from the thighs upto the toes about 
18-22 inches above the ground. Keep both the legs together
5. Throughout rest your chin on the floor
6. Remain in this pose for about 11 seconds
7. Then relax
Do this for 11 times","2. UDDEEYAANA BANDHA
1. Lye down on same asana but no need to lift the legs. Keep the spine straight and eyes open. 
314
2. Take a deep breath in and exhale completely, but do not be forceful
3. After exhaling, perform jaalandhara bandha by moving the chin down to the chest 
4. Pull the abdominal muscles inward so that the organs of the abdomen touch the back muscles
5. Hold as long as you can
6. When you can’t hold anymore, Before inhaling, relax the stomach and abdomen, release
 jaalandhara bandha by raising the chin
7. Then inhale through the nostrils slowly
8. Before repeating another round, breathe normally for a minute or two
9. Initially start with 3 times and gradually increase upto 10 times","STEPS 1 AND 2 COMBINED
1. Lie on the ground with face downwards, with palms facing the ground
2. Chest should be on the palms above hands
3. Legs should be straight on the ground
4. Take a deep breath in and exhale completely, but do not be forceful
5. After exhaling, perform jaalandhara bandha by moving the chin down to the chest
6. Pull the abdominal muscles inward and upwards, so that the organs of the abdomen touch the 
back muscles
7. At the same time without bending at the knees raise the leg from the thighs upto the toes about 
18-22 inches above the ground. Keep both the legs together
8. Hold as long as you can
9. When you can’t hold anymore, Before inhaling, relax the stomach and abdomen, release 
jaalandhara by raising the chin and relax your legs
10. Then exhale through the nostrils
11. Before repeating another round, breathe normally for a minute or two
12. Initially start with 3 times and gradually increase upto 10 times",,,,,,,,,,,
66,Cure For Insomnia,,"1. BHADRA ASANA
2. JAALANDHARA BANDHA
3. NABHO MUDRA
4. BHASTRIKA","1. BHADRA ASANA
1. Bend both the legs to the back, keep the feet facing up and Sit on it
2. Take both your hands to the back and hold your right toes with the left hand and left toes with 
the right hand
3. Do Jaalandhara bandha, contract your throat, bend your chin and rest it on your chest
4. Concentrate your gaze on the tip of your nose
5. Remain in this pose for 30 seconds and release the Jaalandhara bandha","2. JAALANDHARA BANDHA
1. Remain in same asana
2. Inhale fully
3. Place the chin on the chest and contract the throat
4. Fix the Gaze at the tip of the nose
5. Hold as long as possible judiciously
6. Release the throat lock and exhale slowly, when you feel you can’t hold anymore
7. Do this 16 times","3. NABHO MUDRA
1. Turn the tongue upwards. Roll it and push it up
2. Hold the breath with closed eyes
3. Hold as long as you can then, relax
4. Do this Nabho mudra at least 16 times
IN BHADRA ASANA, NEXT","4. BHASTRIKAA
1. Inhale slowly expanding the stomach
2. Exhale slowly
3. Do this 21 times
4. After 21 times, now inhale slowly
5. Hold the breath as long as you can 
6. When you feel you can’t hold quickly expel the air with the sound of bellows. At this moment 
the stomach should contract to touch the back
(This is one Bhastrikaa)
7. Do this complete sequence three times",,,,,,,,,,
67,Cure for Infertility/Impotence,,1. BHADRA ASANA 2. SHEETHALEE KUMBHAKA 3. SEETHKAAREE PRAANAAYAAMA 4. BHAGA ASANA 5. SHEETHALEE KUMBHAKA 6. SEETHKAAREE PRAANAAYAAMA 7. BHARADVAAJA ASANA 8. SHEETHALEE KUMBHAKA 9. SEETHKAAREE PRAANAAYAAMA 10. BHIDOKA ASANA 11. SHEETHALEE KUMBHAKA 12. SEETHKAAREE PRAANAAYAAMA,"1. BHADRA ASANA
1. Bend both the legs to the back, keep the feet facing up and Sit on it
2. Take both your hands to the back and hold your right toes with the left hand and left toes with 
the right hand
3. Do Jaalandhara bandha, contract your throat, bend your chin and rest it on your chest
4. Concentrate your gaze on the tip of your nose
5. Remain in this pose for 30 seconds and release the Jaalandhara bandha","2. SHEETHALEE KUMBHAKA
1. Continue to sit in same asana
2. Close the eyes and relax the whole body
3. Extend the tongue outside the mouth and roll the sides of the tongue up so that it forms a tube
4. Inhale slowly through the tongue and fill the abdomen slowly
5. At the end of inhalation, roll the tongue in, close the mouth
6. Retain it there for a short time
7. Then exhale through both the nostrils
8. Do this 21 times","3. SEETHKAAREE PRAANAAYAAMA
1. Stay in same asana 
2. Press the lower and upper teeth together and separate the lips as much as comfortable
3. Breath in slowly through the gaps of the teeth
4. Listen to the sound of the breath as the air is being drawn in
5. Close the mouth at the end of the inhalation
6. Exhale slowly through the nose
7. Do this 21 times","4. BHAGA ASANA 
1. Place the soles and heels of the feet together 
2. Touch the navel with the toes
3. Place the hands on the knees
4. Fix the gaze at the tip of the nose
5. Remain steady for 30 seconds","5. SHEETHALEE KUMBHAKA
1. Continue to sit in same asana
2. Close the eyes and relax the whole body
3. Extend the tongue outside the mouth and roll the sides of the tongue up so that it forms a tube
4. Inhale slowly through the tongue and fill the abdomen slowly
5. At the end of inhalation, roll the tongue in, close the mouth
6. Retain it there for a short time
7. Then exhale through both the nostrils
8. Do this 21 times","6.SEETHKAAREE PRAANAAYAAMA
1. Stay in same asana 
2. Press the lower and upper teeth together and separate the lips as much as comfortable
3. Breath in slowly through the gaps of the teeth
4. Listen to the sound of the breath as the air is being drawn in
5. Close the mouth at the end of the inhalation
6. Exhale slowly through the nose
7. Do this 21 times","7. BHARADVAAJA ASANA
1. Sit with stretched legs
2. Fold the right knee
3. Place the right foot by the right hip side and Stay on right foot
4. Fold the left knee
5. Place the left foot upon the right thigh
6. Bring the left hand from the back and catch the left foot.
7. Place the right hand fingers under the left knee 
332
8. Turn the face towards the right side
9. Remain this pose for 30 seconds","8.SHEETHALEE KUMBHAKA
1. Continue to sit in same asana
2. Close the eyes and relax the whole body
3. Extend the tongue outside the mouth and roll the sides of the tongue up so that it forms a tube
4. Inhale slowly through the tongue and fill the abdomen slowly
5. At the end of inhalation, roll the tongue in, close the mouth
6. Retain it there for a short time
7. Then exhale through both the nostrils
8. Do this 21 times","9.SEETHKAAREE PRAANAAYAAMA
1. Stay in same asana 
2. Press the lower and upper teeth together and separate the lips as much as comfortable
3. Breath in slowly through the gaps of the teeth
4. Listen to the sound of the breath as the air is being drawn in
5. Close the mouth at the end of the inhalation
6. Exhale slowly through the nose
7. Do this 21 times","10. BHIDOKA ASANA
1. Sit with stretched legs
2. Spread the feet apart one cubit
3. Bend the head forward
4. Insert both the hands under the legs
5. Now catch hold of the feet from outside
6. Touch the ground with forehead
7. Fix the gaze at the brow center
8. Remain this asana for 30 seconds","11.SHEETHALEE KUMBHAKA
1. Continue to sit in same asana
2. Close the eyes and relax the whole body
3. Extend the tongue outside the mouth and roll the sides of the tongue up so that it forms a tube
4. Inhale slowly through the tongue and fill the abdomen slowly
5. At the end of inhalation, roll the tongue in, close the mouth
6. Retain it there for a short time
7. Then exhale through both the nostrils
8. Do this 21 times","12.SEETHKAAREE PRAANAAYAAMA
1. Stay in same asana 
2. Press the lower and upper teeth together and separate the lips as much as comfortable
3. Breath in slowly through the gaps of the teeth
4. Listen to the sound of the breath as the air is being drawn in
5. Close the mouth at the end of the inhalation
6. Exhale slowly through the nose
7. Do this 21 times",,
68,Care For Irritable Bowel Syndrome,,"1. 1ST KARANA OF SHIVA THANDAVAM
2. BHASTRIKAA 
3. UDDEEYAANA BANDHA
4. TRISHOOLA KUMBHAKA
5. TRINETRA KUMBHAKA","1. 1ST KARANA OF SHIVA THANDAVAM
1. Your weight has to be on the thighs
2. The legs have to be wide apart
3. Hold the hands as shown (hold the hands in front of the Ananda Gandha – below the heart and 
above the navel)","2. BHASTRIKAA 
1. Rapidly inhale and exhale like the bellows of the black smith until you become fatigued
2. Then inhale through the right nostril
3. Press the chin on the chest so that the throat is locked
4. Hold the breath as long as you can judiciously
5. Relax the chin and exhale through left nostril
6. Now stand straight
7. Put your hands on your hip
8. Now try to come back to the same posture
9. Do this 3 times","3. UDDEEYAANA BANDHA
1. Stand and Keep about half-a-metre gap between your feet
2. Bend the knees slightly and rest your palms above the knees with the thumbs facing inwards 
and the fingers outwards. 
3. Keep the spine straight. Head should be up and eyes open 
4. Take a deep breath in and exhale completely, but do not be forceful. 
5. After exhaling, perform jalandhara bandha by moving the chin down to the chest and raising 
the shoulders. 
6. Pull the abdominal muscles inward so that the organs of the abdomen touch the back muscles 
7. Hold as long as you can. 
8. When you can’t hold anymore, Before inhaling, relax the stomach and abdomen, release 
jaalandhara bandha by raising the head, and stand straight. 
9. Then inhale through the nostrils slowly. 
10. Before repeating another round, breathe normally for a minute or two. 
11. Initially start with 3 times and gradually increase upto 10 times
12. Once you finished, please be seated","4. TRISHOOLA KUMBHAKA 
1. Inhale through the nostrils and also through the mouth simultaneously
2. Hold the breath as long as you can judiciously
3. Now exhale through the nostrils slowly and relax
4. Do this 7 times
IN SEATING POSITION, NEXT","5. TRINETRA KUMBHAKA
1. Inhale through the left nostril
2. Hold the breath as long as you can judiciously
3. Without exhalation, inhale through the right nostril
4. Hold the breath as long as you can judiciously
5. Again without exhaling, inhale through both the nostrils
6. Hold the breath as long as you can judiciously
7. Now exhale through both the nostrils slowly 
8. Do this 7 times",,,,,,,,,
69,Care For Kids’ Memory Power,,"1. PADMA ASANA
2. SHEETHALEE KUMBHAKA
3. SEETHKAAREE PRAANAAYAAMA
4. UJJAYYEE KUMBHAKA","1. PADMA ASANA 
1. Place the right foot on the left thigh 
2. Now place the left foot on the right thigh
3. Place the hands between the thighs with the palms facing upwards 
4. Concentrating on the tip of the nose, keep the tongue pressed on the upper teeth
5. Press the chin on your chest, push the air slowly upward
6. Exhale slowly
7. Do this 3 times and release the chin on your chest and tongue pressed on the upper teeth","2. SHEETHALEE KUMBHAKA 
1. Continue to sit in same asana
2. Close the eyes and relax the whole body
3. Extend the tongue outside the mouth and roll the sides of the tongue up so that it forms a tube
4. Inhale slowly through the tongue and fill the abdomen slowly
5. At the end of inhalation, roll the tongue in, close the mouth
6. Retain it there for a short time
7. Then exhale through both the nostrils
8. Do this for 21 minutes","3. SEETHKAAREE PRAANAAYAAMA 
1. Stay in same asana 
2. Press the lower and upper teeth together and separate the lips as much as comfortable
3. Breath in slowly through the gaps of the teeth
4. Listen to the sound of the breath as the air is being drawn in
5. Close the mouth at the end of the inhalation
6. Exhale slowly through the nose
7. Do this 21 times","4. UJJAYYEE KUMBHAKA
1. Close your Mouth
2. Inhale through both the nostrils
3. Hold as long as you can judiciously
4. Exhale slowly through the left nostril
5. Do this 21 times",,,,,,,,,,
70,CARE FOR KIDNEY STONES,,"1. MATSYA ASANA
2. SHEETHALEE KUMBHAKA
3. SEETHKAAREE PRAANAAYAAMA
4. BHASTRIKAA","1. MATSYA ASANA 
1. Place the right foot on the left thigh
2. Now place the left foot on the right thigh
3. Now lie down on your back
4. Cling on to your head with your elbows
5. Stay in this position 30 seconds","2. SHEETHALEE KUMBHAKA 
1. Continue to sit in same asana
2. Close the eyes and relax the whole body
3. Extend the tongue outside the mouth and roll the sides of the tongue up so that it forms a tube
4. Inhale slowly through the tongue and fill the abdomen slowly
5. At the end of inhalation, roll the tongue in, close the mouth
6. Retain it there for a short time
7. Then exhale through both the nostrils
8. Do this 21 minutes","3. SEETHKAAREE PRAANAAYAAMA 
1. Stay in same asana 
2. Press the lower and upper teeth together and separate the lips as much as comfortable
3. Breath in slowly through the gaps of the teeth
4. Listen to the sound of the breath as the air is being drawn in
5. Close the mouth at the end of the inhalation
6. Exhale slowly through the nose
7. Do this 21 times","4. BHASTRIKAA
1. Rapidly inhale and exhale like the bellows of the black smith until you become fatigued
2. Then inhale through the right nostril
3. Press the chin on the chest so that the throat is locked
4. Hold the breath as long as you can judiciously
5. Relax the chin and exhale through left nostril
349
6. Do this 21 times",,,,,,,,,,
71,Kundalini awakening Kriya I,,1. MAHA MUDRAA,"1. MAHA MUDRAA
1. Sit with the right leg stretched leg front. 
2. Bend the left knee, and press the heel in to the perineum or vagina. 
3. Exhaling, lean forward and grasp the big toe of the right foot.
4. Keep the head erect, eyes closed and the back straight.
5. Breath slowly
6. Retain the breath and lock the throat 
7. Hold the breath as long as you can 
8. When you feel you can’t hold slowly expel the air
Do this 7 times. After that do this 7 times with right leg also.",,,,,,,,,,,,,
72,Kundalini awakening kriya II,,"1. Mahamudraa
2. Kechari Mudra
3. Shambhavi Mudra
4. Moolabandha","1. MAHA MUDRAA
1. Sit with the right leg stretched leg front. 
2. Bend the left knee, and press the heel in to the perineum or vagina. 
3. Exhaling, lean forward and grasp the big toe of the right foot.
4. Keep the head erect, eyes closed and the back straight.
5. Breath slowly
6. Retain the breath and lock the throat 
7. Hold the breath as long as you can 
8. When you feel you can’t hold slowly expel the air
Do this 7 times. After that do this 7 times with right leg also.","2. Kechari Mudra

Kechari mudra is turning the tongue backwards into the cavity of the cranium and turning the eye 
inwards towards the eyebrow centre","3. Shambhavi Mudra
With internalized (one pointed) awareness and external gaze unblinking, that verily is shambhavi 
mudra, preserved in the Vedas.","4. Mula Bandha
1. Sit with stretched legs.
2. Bend the left heel and Keep between the genitals and anus
3. Exhale completly, and Contract the intestines near the navel such that it touches the back
4. Bend forward and hold the right foot with the both hands
5. Hold the breath and raise the head and close your eyes
6. Do not bend spines. Be in this pose for sometime.
7. Adopt Kechari mudra. (Turning the tongue backwards into the cavity of the cranium and 
turning the eye inwards towards the eyebrow centre)
8. When you feel you cant hold anymore slowly inhale and tilting the head slightly backwards 
and perform Shambhavi Mudra ( Open your eyes and gaze at the eyebrow centre without blinking.)
9. After inhaling hold the breath inside With intense awareness
10. While holding breath, adopt moola bandha (Keep the heel in between anus and scrotum and 
press it. Contract the intestines near the navel in such a way that it touches the back.)
11. When you feel you cant hold anymore, relax eyeballs and release moolabandha and breath
12. This is 1 sequence. Do this sequence 3 times. 
13. After that, Do this sequence 3 times with right heel 
14. After that, Do this sequence 3 times with stretched legs.",,,,,,,,,,
73,Care For Long Sight,,"1. PADMA ASANA
2. KOORMA KUMBHAKA
3. SAMA KUMBHAKA","1. PADMA ASANA 
1. Place the right foot on the left thigh 
2. Now place the left foot on the right thigh
3. Place the hands between the thighs with the palms facing upwards 
4. Concentrating on the tip of the nose, keep the tongue pressed on the upper teeth
5. Press the chin on your chest, push the air slowly upward
6. Exhale slowly
7. Do this 3 times and release the chin on your chest and tongue pressed on the upper teeth","2. KOORMA KUMBHAKA
1. Continue to be seated in the same asana
2. Fix your sight at one point and stare
3. Do not blink your eyes
4. Do not allow your eye balls to move.
5. Do not move your body.
6. While you stare intensely, automatically the breathing will stop. Hold the breath as long as you 
can. 
7. When you can't hold anymore, relax
8. Then again stare
9. Do this 21 minutes.
IN PADMA ASANA, NEXT","3. SAMA KUMBHAKA
1. Stop inhaling and exhaling
2. Close your eyes and bring your awareness to the eye balls
3. Hold the breath and mentally (do not use your fingers) 
4. When you can not hold any more relax
6. Do this 21 times with closed eyes",,,,,,,,,,,
74,Cure For Long Sight,,"1. SIDDHAASANAM
2. SHEETHALEE KUMBHAKA
3. KOORMA KUMBHAKA
4. SAMA KUMBHAKA","1. SIDDHAASANAM 
1. One heel should be placed in the space between the genitals and anus and the other heel 
should be placed on the genitals.
2. The chin should be placed on the chest. 
3. Keep the backbone straight, winning over the strong emotions, remaining calm, 
4. Gaze through the third eye .
5. Maintain the pose for 30 seconds","2. SHEETHALEE KUMBHAKA 
1. Continue to sit in same asana
2. Close the eyes and relax the whole body
3. Extend the tongue outside the mouth and roll the sides of the tongue up so that it forms a tube
4. Inhale slowly through the tongue and fill the abdomen slowly
5. At the end of inhalation, roll the tongue in, close the mouth
6. Retain it there for a short time
7. Then exhale through both the nostrils
8. Do this for 21 minutes","3. KOORMA KUMBHAKA 
1. Continue to be seated in the same asana
2. Fix your sight at one point and stare
3. Do not blink your eyes
4. Do not allow your eye balls to move.
5. Do not move your body.
6. While you stare intensely, automatically the breathing will stop. Hold the breath as long as you 
can. 
7. When you can't hold anymore, relax
8. Then again stare
9. Do this 21 minutes","4. SAMA KUMBHAKA
1. Stop inhaling and exhaling
2. Close your eyes and bring your awareness to the eye balls
3. Hold the breath and mentally (do not use your fingers) 
4. When you can not hold any more relax
6. Do this 21 times with closed eyes",,,,,,,,,,
